anzsic06,Area,year,geo_count,ec_count
J541,A356500,2003,0,12
J541,A357500,2003,0,0
J541,A359400,2003,0,0
J541,A360100,2003,0,65
J541,A360700,2003,0,0
J541,A361000,2003,3,500
J541,A361100,2003,0,0
J541,C07601,2003,12,210
J541,C07602,2003,18,45
J541,C07603,2003,12,270
J541,C07604,2003,27,180
J541,C07605,2003,30,240
J541,C07606,2003,9,90
J541,C07607,2003,6,9
J541,C07608,2003,0,0
J541,C07609,2003,6,18
J541,C07610,2003,132,3100
J541,C07611,2003,9,9
J541,C07612,2003,33,210
J541,C07613,2003,6,12
J541,C07614,2003,27,450
J541,C07615,2003,18,770
J541,C07616,2003,15,190
J541,C07617,2003,6,9
J541,C07618,2003,6,140
J541,C07619,2003,0,0
J541,C07620,2003,3,6
J541,C07621,2003,9,180
J541,CTotal,2003,396,6100
J541,R01,2003,15,380
J541,R02,2003,396,6100
J541,R03,2003,51,1400
J541,R04,2003,30,990
J541,R05,2003,0,90
J541,R06,2003,15,460
J541,R07,2003,9,610
J541,R08,2003,33,1000
J541,R09,2003,117,3150
J541,R12,2003,0,160
J541,R13,2003,96,2250
J541,R14,2003,27,820
J541,R15,2003,6,570
J541,R16,2003,6,15
J541,R17,2003,6,440
J541,R18,2003,9,300
J541,RTotal,2003,825,18800
J541,T001,2003,9,240
J541,T002,2003,6,140
J541,T003,2003,3,0
J541,T011,2003,9,160
J541,T012,2003,3,12
J541,T013,2003,3,3
J541,T015,2003,6,90
J541,T016,2003,18,740
J541,T017,2003,0,45
J541,T018,2003,0,6
J541,T019,2003,3,120
J541,T020,2003,3,18
J541,T021,2003,3,190
J541,T022,2003,6,9
J541,T023,2003,15,690
J541,T024,2003,6,210
J541,T025,2003,3,75
J541,T027,2003,3,9
J541,T028,2003,0,90
J541,T029,2003,0,12
J541,T030,2003,6,370
J541,T031,2003,6,75
J541,T033,2003,6,540
J541,T034,2003,0,12
J541,T035,2003,6,60
J541,T036,2003,0,21
J541,T037,2003,6,260
J541,T038,2003,0,18
J541,T039,2003,6,45
J541,T040,2003,9,540
J541,T041,2003,3,45
J541,T042,2003,6,80
J541,T043,2003,12,85
J541,T044,2003,9,40
J541,T045,2003,0,40
J541,T046,2003,18,330
J541,T047,2003,72,2100
J541,T048,2003,6,540
J541,T049,2003,0,3
J541,T050,2003,0,0
J541,T051,2003,6,15
J541,T052,2003,6,440
J541,T053,2003,9,300
J541,T054,2003,3,15
J541,T055,2003,0,21
J541,T056,2003,0,140
J541,T058,2003,3,3
J541,T059,2003,6,25
J541,T060,2003,72,1800
J541,T062,2003,6,6
J541,T063,2003,0,110
J541,T064,2003,0,280
J541,T066,2003,3,6
J541,T068,2003,0,55
J541,T069,2003,0,12
J541,T070,2003,9,50
J541,T071,2003,12,690
J541,T072,2003,0,12
J541,T073,2003,3,0
J541,T074,2003,0,65
J541,T075,2003,3,500
J541,T076,2003,396,6100
J541,TTotal,2003,825,18800
J542,A118600,2003,3,0
J542,A131900,2003,0,0
J542,A132300,2003,0,0
J542,A132700,2003,0,0
J542,A134300,2003,3,18
J542,A140800,2003,0,0
J542,A158900,2003,0,0
J542,A177700,2003,0,0
J542,A252500,2003,3,0
J542,A254000,2003,3,0
J542,A303100,2003,3,0
J542,A317800,2003,0,0
J542,A318600,2003,3,0
J542,A325700,2003,0,0
J542,A327100,2003,0,3
J542,A338800,2003,3,0
J542,C07603,2003,3,0
J542,C07610,2003,3,18
J542,C07611,2003,0,0
J542,C07612,2003,3,0
J542,C07616,2003,0,0
J542,CTotal,2003,6,18
J542,R02,2003,6,18
J542,R03,2003,0,0
J542,R09,2003,0,0
J542,R13,2003,6,3
J542,R16,2003,3,0
J542,RTotal,2003,15,21
J542,T016,2003,0,0
J542,T047,2003,0,0
J542,T051,2003,3,0
J542,T060,2003,6,3
J542,T064,2003,3,0
J542,T076,2003,6,18
J542,TTotal,2003,15,21
J55,A100900,2003,0,0
J55,A101100,2003,3,3
J55,A102800,2003,0,0
J55,A103000,2003,0,6
J55,A103300,2003,0,0
J55,A103500,2003,0,3
J55,A103900,2003,3,3
J55,A107100,2003,0,30
J55,A107200,2003,3,0
J55,A107600,2003,0,0
J55,A110700,2003,3,0
J55,A110800,2003,3,3
J55,A111200,2003,0,0
J55,A111300,2003,0,0
J55,A111500,2003,0,0
J55,A111700,2003,3,25
J55,A111900,2003,3,0
J55,A112300,2003,3,0
J55,A113400,2003,0,0
J55,A113600,2003,3,0
J55,A114000,2003,3,0
J55,A114200,2003,0,0
J55,A114400,2003,0,0
J55,A114500,2003,0,0
J55,A114600,2003,3,0
J55,A114700,2003,3,0
J55,A114800,2003,0,0
J55,A114900,2003,3,25
J55,A115000,2003,3,0
J55,A115200,2003,0,0
J55,A115300,2003,0,0
J55,A115500,2003,0,0
J55,A115800,2003,3,0
J55,A115900,2003,3,0
J55,A116200,2003,0,0
J55,A116500,2003,0,0
J55,A116600,2003,3,0
J55,A116700,2003,3,0
J55,A116800,2003,0,0
J55,A117100,2003,6,0
J55,A117200,2003,0,0
J55,A117400,2003,3,0
J55,A118100,2003,0,0
J55,A118600,2003,6,0
J55,A118700,2003,3,0
J55,A118800,2003,0,30
J55,A118900,2003,0,0
J55,A119100,2003,0,0
J55,A119800,2003,3,0
J55,A120000,2003,3,40
J55,A120100,2003,0,3
J55,A120300,2003,3,3
J55,A121000,2003,0,0
J55,A121200,2003,3,0
J55,A121500,2003,0,3
J55,A121800,2003,3,0
J55,A121900,2003,3,0
J55,A122100,2003,3,0
J55,A122200,2003,3,0
J55,A122300,2003,3,0
J55,A122400,2003,3,0
J55,A122600,2003,3,0
J55,A122700,2003,0,0
J55,A122800,2003,0,0
J55,A122900,2003,0,0
J55,A123200,2003,3,0
J55,A123300,2003,0,0
J55,A123400,2003,3,0
J55,A123500,2003,3,40
J55,A123600,2003,3,0
J55,A123700,2003,3,3
J55,A123800,2003,0,0
J55,A123900,2003,3,0
J55,A124000,2003,3,3
J55,A124100,2003,6,0
J55,A124400,2003,0,0
J55,A124500,2003,3,0
J55,A124700,2003,3,0
J55,A124800,2003,3,0
J55,A125100,2003,3,80
J55,A125200,2003,6,0
J55,A125300,2003,0,0
J55,A125400,2003,0,0
J55,A125800,2003,6,0
J55,A125900,2003,3,0
J55,A126000,2003,3,0
J55,A126200,2003,0,0
J55,A126300,2003,3,0
J55,A126400,2003,3,0
J55,A126500,2003,0,0
J55,A126700,2003,0,0
J55,A126800,2003,9,35
J55,A126900,2003,0,0
J55,A127000,2003,3,3
J55,A127300,2003,3,0
J55,A127400,2003,9,0
J55,A127500,2003,9,55
J55,A127600,2003,6,0
J55,A128000,2003,3,0
J55,A128100,2003,3,0
J55,A128200,2003,3,30
J55,A128400,2003,0,0
J55,A128600,2003,0,0
J55,A128700,2003,6,440
J55,A128800,2003,3,0
J55,A129100,2003,3,0
J55,A129200,2003,6,0
J55,A129300,2003,0,0
J55,A129400,2003,0,0
J55,A129500,2003,3,0
J55,A129600,2003,0,0
